model,dataset,sweep,mode,k,gamma,event_step,event_count,invalid_samples_mean,invalid_samples_std,invalid_samples_count,valid_samples_mean,valid_samples_std,valid_samples_count,excess_auc_mean,excess_auc_std,excess_auc_count,circular_phase_error_mean,circular_phase_error_std,circular_phase_error_count,delay_mse_mean,delay_mse_std,delay_mse_count,recovery_censored_rate_mean,recovery_censored_rate_std,recovery_censored_rate_count,phase_jump_mean,phase_jump_std,phase_jump_count,new_crossing_rate_mean,new_crossing_rate_std,new_crossing_rate_count,output_radius_mean,output_radius_std,output_radius_count,firing_rate_mean,firing_rate_std,firing_rate_count,forced_hit_rate_mean,forced_hit_rate_std,forced_hit_rate_count,recovery_time_mean,recovery_time_std,recovery_time_count,fast_state_delta_mean,fast_state_delta_std,fast_state_delta_count,slow_state_delta_mean,slow_state_delta_std,slow_state_delta_count
asrnn,in_distribution,main,clean,2,1.0,15,1,0.0,,1,4.0,,1,0.0,,1,1.5275216102600098,,1,0.5804179906845093,,1,0.0,,1,0.7387905716896057,,1,0.0,,1,0.4241196811199188,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
asrnn,in_distribution,main,clean,2,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.5275216102600098,,1,0.5804179906845093,,1,0.0,,1,-0.11089193820953369,,1,0.0,,1,0.4241196811199188,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
asrnn,in_distribution,main,forced_no_reset,2,1.0,15,1,0.0,,1,4.0,,1,0.0,,1,1.525641918182373,,1,0.6321040391921997,,1,0.0,,1,0.7014557719230652,,1,1.0,,1,0.49182283878326416,,1,0.04545454680919647,,1,1.0,,1,0.0,,1,,,0,,,0
asrnn,in_distribution,main,forced_no_reset,2,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.5257755517959595,,1,0.5791934132575989,,1,0.0,,1,-0.12760713696479797,,1,1.0,,1,0.4221196472644806,,1,0.04545454680919647,,1,1.0,,1,0.0,,1,,,0,,,0
asrnn,in_distribution,main,native_reset,2,1.0,15,1,0.0,,1,4.0,,1,-0.010431498289108276,,1,1.5287636518478394,,1,0.6066823601722717,,1,1.0,,1,0.7102393507957458,,1,1.0,,1,0.4572727084159851,,1,0.022727273404598236,,1,1.0,,1,5.0,,1,,,0,,,0
asrnn,in_distribution,main,native_reset,2,1.0,22,1,0.0,,1,4.0,,1,0.026669327169656754,,1,1.527190089225769,,1,0.5799064040184021,,1,1.0,,1,-0.12032261490821838,,1,1.0,,1,0.4230601489543915,,1,0.022727273404598236,,1,1.0,,1,5.0,,1,,,0,,,0
brf,in_distribution,main,clean,2,1.0,15,1,0.0,,1,4.0,,1,0.0,,1,1.5275216102600098,,1,0.5804179906845093,,1,0.0,,1,0.7387905716896057,,1,0.0,,1,0.4241196811199188,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
brf,in_distribution,main,clean,2,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.5275216102600098,,1,0.5804179906845093,,1,0.0,,1,-0.11089193820953369,,1,0.0,,1,0.4241196811199188,,1,0.0,,1,0.0,,1,0.0,,1,,,0,,,0
brf,in_distribution,main,forced_no_reset,2,1.0,15,1,0.0,,1,4.0,,1,0.0,,1,1.525641918182373,,1,0.6321040391921997,,1,0.0,,1,0.7014557719230652,,1,1.0,,1,0.49182283878326416,,1,0.04545454680919647,,1,1.0,,1,0.0,,1,,,0,,,0
brf,in_distribution,main,forced_no_reset,2,1.0,22,1,0.0,,1,4.0,,1,0.0,,1,1.5257755517959595,,1,0.5791934132575989,,1,0.0,,1,-0.12760713696479797,,1,1.0,,1,0.4221196472644806,,1,0.04545454680919647,,1,1.0,,1,0.0,,1,,,0,,,0
